"value","nombre","usuario","fecha","retweets","like","replies","texto","hashtags","ctasMencionadas","nombres_propios","fecha2"
"Xgamer  @Xgamer32384933 2h 2 hours ago More #GuasonGuaido me parece una falta de respeto total para el pobre guasón, un abuso la comparación, de verdad Reply Retweet 5 Like 4","Xgamer  ","@Xgamer32384933 ","2019-10-05",5,4,NA,"#GuasonGuaido me parece una falta de respeto total para el pobre guasón, un abuso la comparación, de verdad","#GuasonGuaido","","GuasonGuaido","2019-10-05"
"doris  @doris23917024 1h 1 hour ago More #GuasonGuaido donde estas guason no te esconda Reply Retweet 10 Like 6","doris  ","@doris23917024 ","2019-10-05",10,6,NA,"#GuasonGuaido donde estas guason no te esconda","#GuasonGuaido","","GuasonGuaido","2019-10-05"
"El Espectador Verified account  @elespectador 25m 25 minutes ago More #LoMásLeído en Cultura: Jack Nicholson: Ser el Guasón (El juego del Joker). http://tinyurl.com/yytblgwn  Reply Retweet 4 Like 16","El Espectador Verified account  ","@elespectador ","2019-10-05",4,16,NA,"#LoMásLeído en Cultura: Jack Nicholson: Ser el Guasón (El juego del Joker). http://tinyurl.com/yytblgwn","#LoMásLeído","","LoMásLeído, Cultura, Jack, Nicholson, Ser, Guasón, El, Joker","2019-10-05"
"Frases y Chistes ツ  @BuenasPhrases 3h 3 hours ago More  Joker.  Guasón.  Las flipantes aventuras del bromas. Reply 1 Retweet 13 Like 27","Frases y Chistes ツ  ","@BuenasPhrases ","2019-10-05",13,27,1,"Joker.  Guasón.  Las flipantes aventuras del bromas.","","","Joker, Guasón, Las","2019-10-05"
"Anny Lee   ⚡  @Annyjps 2h 2 hours ago More El Guasón El Bromas  El Ratica El Chalequeador El Jodedorcito El Guachafita El echador de vaina  El mamador de gallo Reply 1 Retweet 5 Like 15","Anny Lee   ","@Annyjps ","2019-10-05",5,15,1,"⚡El Guasón El Bromas  El Ratica El Chalequeador El Jodedorcito El Guachafita El echador de vaina  El mamador de gallo","","","El, Guasón, El, Bromas, El, Ratica, El, Chalequeador, El, Jodedorcito, El, Guachafita, El, El","2019-10-05"
"Jose  @josejavierhsc 1h 1 hour ago More Replying to @lasheron vivimos en una sociedad donde pocos conocen al señor sarcasmo pero todos conocen al guason Reply 1 Retweet 5 Like 52","Jose  ","@josejavierhsc ","2019-10-05",5,52,NA,"REPLYING TO @lasheron vivimos en una sociedad donde pocos conocen al señor sarcasmo pero todos conocen al guason","","@lasheron","","2019-10-05"
"Clona   🇦🇷  ⏩  @clonazepunkk 2h 2 hours ago More En ecuador se cansaron de que los tomen por boludos. Aguante Guasón. Reply 2 Retweet 4 Like 24","Clona   ","@clonazepunkk ","2019-10-05",4,24,2,"🇦🇷  ⏩En ecuador se cansaron de que los tomen por boludos. Aguante Guasón.","","","En, Aguante, Guasón","2019-10-05"
"nelio omar  @NelioOmar 2h 2 hours ago More El guason diciendo El grinn(maduro) me tiene que pasar la parte del trato o sino alboroto la gente con que voy a sacarlo de esta crisis #GuasonGuaido Reply 1 Retweet 3 Like 1","nelio omar  ","@NelioOmar ","2019-10-05",3,1,1,"El guason diciendo El grinn(maduro) me tiene que pasar la parte del trato o sino alboroto la gente con que voy a sacarlo de esta crisis #GuasonGuaido","#GuasonGuaido","","El, El, GuasonGuaido","2019-10-05"
"Abel   🥞  @elciempies 2h 2 hours ago More El único guasón que me interesa es el guasón-tle Reply 3 Retweet 6 Like 56","Abel   ","@elciempies ","2019-10-05",6,56,3,"🥞El único guasón que me interesa es el guasón-tle","","","El","2019-10-05"
"Hugo Nestor Paredero  @hugoparedero 60m 60 minutes ago More Arthur Fleck es un tipo desolado, paciente psiquiátrico. Vive c/su madre (q lo llama Feliz), labura de guasón en calle y  hospitales, ríe sin reir, deberá matar. Inmenso laburo de Joaquin Phoenix en peli de Todd Phillips. Su desamparo es el nuestro, su locura también. Genial!  Reply 2 Retweet 4 Like 13","Hugo Nestor Paredero  ","@hugoparedero ","2019-10-05",4,13,2,"Arthur Fleck es un tipo desolado, paciente psiquiátrico. Vive c/su madre (q lo llama Feliz), labura de guasón en calle y  hospitales, ríe sin reir, deberá matar. Inmenso laburo de Joaquin Phoenix en peli de Todd Phillips. Su desamparo es el nuestro, su locura también. Genial!","","","Arthur, Fleck, Vive, Feliz, Inmenso, Joaquin, Phoenix, Todd, Phillips, Su, Genial","2019-10-05"
"Papa Pancho  @PontifexMundial 3m 3 minutes ago More Es neta que en España la película del Guason se llama ""El Bromas""  Reply Retweet 1 Like 6","Papa Pancho  ","@PontifexMundial ","2019-10-05",1,6,NA,"Es neta que en España la película del Guason se llama ""El Bromas""","","","Es, España, Guason, El, Bromas","2019-10-05"
"nilfredo1978  @nilfredo1978 2h 2 hours ago More Joaquín Phoenix se transforma magistralmente en ""Guasón"" la mejor actuaciòn #GuasonGuaido Reply Retweet 9 Like 4","nilfredo1978  ","@nilfredo1978 ","2019-10-05",9,4,NA,"Joaquín Phoenix se transforma magistralmente en ""Guasón"" la mejor actuaciòn #GuasonGuaido","#GuasonGuaido","","Joaquín, Phoenix, Guasón, GuasonGuaido","2019-10-05"
"XAVIER  @xavijativa 2h 2 hours ago More El baile en la escalera con esta canción  es magistral  https://youtu.be/t-hB1TzoG7M    #Joker #Guason   Reply 1 Retweet 2 Like 2","XAVIER  ","@xavijativa ","2019-10-05",2,2,1,"El baile en la escalera con esta canción  es magistral  https://youtu.be/t-hB1TzoG7M    #Joker #Guason","#Joker, #Guason","","El, B1TzoG7M, Joker, Guason","2019-10-05"
"Tigre de la Falacia☭  @OscarDelDiablo 1h 1 hour ago More –¿Ya viste la actuación del payaso siniestro del que todo el mundo habla? –¿It? –No, el otro. –¿El Guasón? –El otro. –¿Trump? –El otro... –Bolsonaro –Ese. Reply Retweet 10 Like 38","Tigre de la Falacia","@OscarDelDiablo ","2019-10-05",10,38,NA,"☭–¿Ya viste la actuación del payaso siniestro del que todo el mundo habla? –¿It? –No, el otro. –¿El Guasón? –El otro. –¿Trump? –El otro... –Bolsonaro –Ese.","","","Ya, It, No, El, Guasón, El, Trump, El, Bolsonaro, Ese","2019-10-05"
"lannister  @lizarjusti 1h 1 hour ago More - Joker - El Guasón - El Bromas - El Jaja - El XD Reply Retweet 4 Like 8","lannister  ","@lizarjusti ","2019-10-05",4,8,NA,"- Joker - El Guasón - El Bromas - El Jaja - El XD","","","Joker, El, Guasón, El, Bromas, El, Jaja, El, XD","2019-10-05"
"CinesArgentinos.com Verified account  @cinesargentinos 2h 2 hours ago More Dejá tu crítica de #Joker en https://www.cinesargentinos.com.ar/pelicula/7938-guason/ …  #Guasón  Reply 2 Retweet 2 Like 5","CinesArgentinos","@cinesargentinos ","2019-10-05",2,5,2,".Dejá tu crítica de #Joker en https://www.cinesargentinos.com.ar/pelicula/7938-guason/ …  #Guasón","#Joker, #Guasón","","Dejá, Joker, Guasón","2019-10-05"
"Mariano Riva Palacio Verified account  @JMRivaPalacio 3h 3 hours ago More ¡Intensa, hilarante y perturbadora! Sin duda una de las mejores películas del año @jokermovie (GUASÓN) y Joaquin Phoenix directo a las nominaciones.  Reply 3 Retweet 4 Like 29","Mariano Riva Palacio Verified account  ","@JMRivaPalacio ","2019-10-05",4,29,3,"¡Intensa, hilarante y perturbadora! Sin duda una de las mejores películas del año @jokermovie (GUASÓN) y Joaquin Phoenix directo a las nominaciones.","","@jokermovie","Intensa, Sin, GUASÓN, Joaquin, Phoenix","2019-10-05"
"Dai  🌟  @MissNegritu 2h 2 hours ago More Parezco buena madre pero estoy con mis hijas quiero ir a ver el Guason y tiene restricción de edad...  Las dejaré en el apartamento fingiendo migraña y me devuelvo. Reply 4 Retweet 2 Like 36","Dai  ","@MissNegritu ","2019-10-05",2,36,4,"🌟Parezco buena madre pero estoy con mis hijas quiero ir a ver el Guason y tiene restricción de edad...  Las dejaré en el apartamento fingiendo migraña y me devuelvo.","","","Parezco, Guason, Las","2019-10-05"
"Playboy Colombia Verified account  @playboy_col 3h 3 hours ago More #Cine| Sin spoilers hacemos un análisis de esta película violenta, oscura y deprimente que habla sobre la soledad y el aislamiento social http://bit.ly/2nUadny  Reply Retweet 1 Like 5","Playboy Colombia Verified account  ","@playboy_col ","2019-10-05",1,5,NA,"#Cine| Sin spoilers hacemos un análisis de esta película violenta, oscura y deprimente que habla sobre la soledad y el aislamiento social http://bit.ly/2nUadny","#Cine","","Cine, Sin, Uadny","2019-10-05"
"Max Julio Flores  @maxjflores 3h 3 hours ago More Aquí los actores que han interpretado al #Joker, pero cada quien tiene a su favorito.  Quien no haya visto el trabajo de cada uno no puede decir que Joaquín es el mejor... César Romero, Jack Nicholson, Heath Ledger, Jared Leto y Joaquin Phoenix ¿Cuál #Guason es el tuyo?  Reply 2 Retweet Like 8","Max Julio Flores  ","@maxjflores ","2019-10-05",NA,8,2,"Aquí los actores que han interpretado al #Joker, pero cada quien tiene a su favorito.  Quien no haya visto el trabajo de cada uno no puede decir que Joaquín es el mejor... César Romero, Jack Nicholson, Heath Ledger, Jared Leto y Joaquin Phoenix ¿Cuál #Guason es el tuyo?","#Joker, #Guason","","Aquí, Joker, Quien, Joaquín, César, Romero, Jack, Nicholson, Heath, Ledger, Jared, Leto, Joaquin, Phoenix, Cuál, Guason","2019-10-05"
"Luis Bonilla-Molina  @Luis_Bonilla_M 2h 2 hours ago More La película El #Guason trabaja una imagen violenta del conflicto social,colocando en un segundo plano las injusticias y desigualdades;es decir la violencia estructural del sistema.Dado lo taquillero del filme los educadores debemos analizarla en las aulas con #pedadogia #crítica Reply 1 Retweet 3 Like 3","Luis Bonilla","@Luis_Bonilla_M ","2019-10-05",3,3,1,"-La película El #Guason trabaja una imagen violenta del conflicto social,colocando en un segundo plano las injusticias y desigualdades;es decir la violencia estructural del sistema.Dado lo taquillero del filme los educadores debemos analizarla en las aulas con #pedadogia #crítica","#Guason, #pedadogia, #crítica","","La, El, Guason, Dado","2019-10-05"
"Señora Clau.  @claudiaagaray 20m 20 minutes ago More Saben? Fui a ver Joker o Guason y quede literalmente mal. Tremenda actuación de #JoaquinPhoenix Reply 5 Retweet 2 Like 21","Señora Clau","@claudiaagaray ","2019-10-05",2,21,5,".Saben? Fui a ver Joker o Guason y quede literalmente mal. Tremenda actuación de #JoaquinPhoenix","#JoaquinPhoenix","","Saben, Fui, Joker, Guason, Tremenda, JoaquinPhoenix","2019-10-05"
"Alvaro Rondon  @AlvaroRondon17 2h 2 hours ago More #GuasonGuaido este si puede ser, pero nunca como el guasón  Reply Retweet 4 Like 2","Alvaro Rondon  ","@AlvaroRondon17 ","2019-10-05",4,2,NA,"#GuasonGuaido este si puede ser, pero nunca como el guasón","#GuasonGuaido","","GuasonGuaido","2019-10-05"
"viva venezuela  @mariayaneth2025 2h 2 hours ago More #GuasonGuaido  quien sera el próximo guason que salga Reply 1 Retweet 7 Like 5","viva venezuela  ","@mariayaneth2025 ","2019-10-05",7,5,1,"#GuasonGuaido  quien sera el próximo guason que salga","#GuasonGuaido","","GuasonGuaido","2019-10-05"
"Novela Gráfica  @_NovelaGrafica 2h 2 hours ago More ¡Nueva reseña! Ya pueden encontrar en nuestro canal de YouTube nuestra opinión sobre Joker, Guasón, El Bromas, Etc.  Es impensable la calidad que alcanzaron Todd Phillips y Joaquin Phoenix con esta película.   https://youtu.be/f68GPh6xVCY   #Joker #Guasón  Reply 3 Retweet 6 Like 7","Novela Gráfica  ","@_NovelaGrafica ","2019-10-05",6,7,3,"¡Nueva reseña! Ya pueden encontrar en nuestro canal de YouTube nuestra opinión sobre Joker, Guasón, El Bromas, Etc.  Es impensable la calidad que alcanzaron Todd Phillips y Joaquin Phoenix con esta película.   https://youtu.be/f68GPh6xVCY   #Joker #Guasón","#Joker, #Guasón","","Nueva, Ya, YouTube, Joker, Guasón, El, Bromas, Etc, Es, Todd, Phillips, Joaquin, Phoenix, GPh6xVCY, Joker, Guasón","2019-10-05"
"Xgamer  @Xgamer32384933 2h 2 hours ago More El tipo tiene la misma maldad del guasón! Solo quiere destruir #GuasonGuaido Reply Retweet 3 Like 3","Xgamer  ","@Xgamer32384933 ","2019-10-05",3,3,NA,"El tipo tiene la misma maldad del guasón! Solo quiere destruir #GuasonGuaido","#GuasonGuaido","","El, Solo, GuasonGuaido","2019-10-05"
"AdriancitoElniñomabonito  @Miguel_GG21 3h 3 hours ago More Ya quiero ir a ver el Guasón Reply 2 Retweet Like 1","AdriancitoElniñomabonito  ","@Miguel_GG21 ","2019-10-05",NA,1,2,"Ya quiero ir a ver el Guasón","","","Ya, Guasón","2019-10-05"
"Gerard  ♨️  @0808Gerard 2h 2 hours ago More #Guason pobres tontos  pic.twitter.com/87ghdSEFz3 This media may contain sensitive material. Learn more View Reply Retweet 1 Like 2","Gerard  ","@0808Gerard ","2019-10-05",1,2,NA,"♨#Guason pobres tontos  pic.twitter.com/87ghdSEFz3 This media may contain sensitive material. Learn more View","#Guason","","Guason, SEFz3, This, Learn, View","2019-10-05"
"The Trend  @thetrend___ 40m 40 minutes ago More ""Solía pensar que mi vida era una tragedia, pero ahora me doy cuenta que es una comedia""... Joaquin Phoenix, el actor que el mundo aclama en la gran película #Joker  #Guasón #JokerMovie  Reply Retweet 4 Like 8","The Trend  ","@thetrend___ ","2019-10-05",4,8,NA,"""Solía pensar que mi vida era una tragedia, pero ahora me doy cuenta que es una comedia""... Joaquin Phoenix, el actor que el mundo aclama en la gran película #Joker  #Guasón #JokerMovie","#Joker, #Guasón, #JokerMovie","","Solía, Joaquin, Phoenix, Joker, Guasón, JokerMovie","2019-10-05"
"marimar  @marimar21044246 1h 1 hour ago More #GuasonGuaido guason y mas guason Reply Retweet 5 Like 5","marimar  ","@marimar21044246 ","2019-10-05",5,5,NA,"#GuasonGuaido guason y mas guason","#GuasonGuaido","","GuasonGuaido","2019-10-05"
"Robin Myers  @robin_ep_myers 48m 48 minutes ago More Menos Guasón, más huauzontles. Reply Retweet 7 Like 29","Robin Myers  ","@robin_ep_myers ","2019-10-05",7,29,NA,"Menos Guasón, más huauzontles.","","","Menos, Guasón","2019-10-05"
"Ricardo E. Briceño C  @RicardoEnriqueB 3h 3 hours ago More Señoras y señores, háganse un gran favor, vayan a ver ''El Guasón'' #ElJoker es de lejos la película más brutal en TODOS, TODOS LOS ASPECTOS q engloba una palícula... la actuación #joaquinphoenix INSUPERABLE, la fotografía impactante, el soundtrack más que adecuado. !RECOMENDADA¡ Reply Retweet 4 Like 10","Ricardo E","@RicardoEnriqueB ","2019-10-05",4,10,NA,".Señoras y señores, háganse un gran favor, vayan a ver ''El Guasón'' #ElJoker es de lejos la película más brutal en TODOS, TODOS LOS ASPECTOS q engloba una palícula... la actuación #joaquinphoenix INSUPERABLE, la fotografía impactante, el soundtrack más que adecuado. !RECOMENDADA¡","#ElJoker, #joaquinphoenix","","Señoras, El, Guasón, ElJoker, TODOS, TODOS, LOS, ASPECTOS, INSUPERABLE, RECOMENDADA","2019-10-05"
"Reporte Índigo Verified account  @Reporte_Indigo 3h 3 hours ago More Lo más curioso del personaje genialmente interpretado por Joaquin Phoenix quizá sea su risa, un transtorno mental del cual investigamos más a fondo con doctores y estudiosos del tema, que nos cuentan el origen y qué es realmente la risa patológica Reply 1 Retweet 2 Like 9","Reporte Índigo Verified account  ","@Reporte_Indigo ","2019-10-05",2,9,1,"Lo más curioso del personaje genialmente interpretado por Joaquin Phoenix quizá sea su risa, un transtorno mental del cual investigamos más a fondo con doctores y estudiosos del tema, que nos cuentan el origen y qué es realmente la risa patológica","","","Lo, Joaquin, Phoenix","2019-10-05"
"Santiago  @Santycuervook 1h 1 hour ago More Fui a ver El Guason!!  Reply 3 Retweet 1 Like 4","Santiago  ","@Santycuervook ","2019-10-05",1,4,3,"Fui a ver El Guason!!","","","Fui, El, Guason","2019-10-05"
"Carlos Soto Verified account  @CarlosSotoM 3h 3 hours ago More Vi la película del Guasón.  Muy recomendable.  Habrá que verla otra vez.    (Ilustración vía https://www.instagram.com/p/B3Pbee-n4Xc/?igshid=1cayyytvqok2n …) Reply 1 Retweet 2 Like 24","Carlos Soto Verified account  ","@CarlosSotoM ","2019-10-05",2,24,1,"Vi la película del Guasón.  Muy recomendable.  Habrá que verla otra vez.    (Ilustración vía https://www.instagram.com/p/B3Pbee-n4Xc/?igshid=1cayyytvqok2n …)","","","Vi, Guasón, Muy, Habrá, Ilustración, B3Pbee, Xc","2019-10-05"
"𝚃 𝚊 𝚗   ☀️  @qe_tania 17m 17 minutes ago More “Me he pasado toda la vida sin saber si realmente existía, pero existo y la gente está empezando a darse cuenta”. Guasón  Reply 1 Retweet Like 12","𝚃 𝚊 𝚗   ","@qe_tania ","2019-10-05",NA,12,1,"☀“Me he pasado toda la vida sin saber si realmente existía, pero existo y la gente está empezando a darse cuenta”. Guasón","","","Me, Guasón","2019-10-05"
