"","name","value","nombre","usuario","fecha","retweets","like","replies","texto","hashtags","ctasMencionadas","nombres_propios"
"3537",3537,"Gilberto Lozano  @gilbertolozanog 1h 1 hour ago More Mexicanos.  Preparen paracaídas, se les cayo el teatro a los de cuarta.  Renuncia el SECRETARIO DE HACIENDA; Carlos Urzúa el manejador de los dinero.  Se hartó de estar defendiendo...  Reply 2 Retweet 25 Like 41","Gilberto Lozano  ","@gilbertolozanog ","2019-07-09",25,41,2,"Mexicanos.  Preparen paracaídas, se les cayo el teatro a los de cuarta.  Renuncia el SECRETARIO DE HACIENDA; Carlos Urzúa el manejador de los dinero.  Se hartó de estar defendiendo...","","","Mexicanos, Preparen, Renuncia, SECRETARIO, DE, HACIENDA, Carlos, Urzúa, Se"
"3538",3538,"KASS  👁️  @Kass19_MX 1h 1 hour ago More KASS Retweeted Carlos Urzúa Carta de renuncia de Carlos Urzúa KASS added, Carlos Urzúa Verified account  @CarlosUrzuaSHCP Agradezco la oportunidad de haber podido servir a México.  Reply Retweet Like 1 Show this thread","KASS  ","@Kass19_MX ","2019-07-09",NA,1,NA,"👁KASS Retweeted Carlos Urzúa Carta de renuncia de Carlos Urzúa KASS added, Carlos Urzúa Verified account  @CarlosUrzuaSHCP Agradezco la oportunidad de haber podido servir a México.     Show this thread","","@CarlosUrzuaSHCP","KASS, Retweeted, Carlos, Urzúa, Carta, Carlos, Urzúa, KASS, Carlos, Urzúa, Verified, Agradezco, México, Show"
"3539",3539,"Ricardo Murguia  @ricziggy 1h 1 hour ago More Profesor Coocon, con la renuncia de Urzua es el momento de entregarnos al pánico? -Yo diría que si...  Reply Retweet Like","Ricardo Murguia  ","@ricziggy ","2019-07-09",NA,NA,NA,"Profesor Coocon, con la renuncia de Urzua es el momento de entregarnos al pánico? -Yo diría que si...","","","Profesor, Coocon, Urzua, Yo"
"3540",3540,"Luis Mario Lavín  @lumalavin 1h 1 hour ago More Lee aquí la carta de renuncia de Carlos Urzúa.  https://www.milenio.com/negocios/carlos-urzua-carta-renuncia-secretario-hacienda … Reply Retweet Like","Luis Mario Lavín  ","@lumalavin ","2019-07-09",NA,NA,NA,"Lee aquí la carta de renuncia de Carlos Urzúa.  https://www.milenio.com/negocios/carlos-urzua-carta-renuncia-secretario-hacienda …","","","Lee, Carlos, Urzúa"
"3541",3541,"NDS Noticias  @NDSNoticias 1h 1 hour ago More Carlos Urzúa renuncia a la Secretaría de Hacienda #renuncia Reply Retweet Like","NDS Noticias  ","@NDSNoticias ","2019-07-09",NA,NA,NA,"Carlos Urzúa renuncia a la Secretaría de Hacienda #renuncia","#renuncia","","Carlos, Urzúa, Secretaría, Hacienda"
"3542",3542,"Alejandro Medina  @cohetemedina 1h 1 hour ago More El peso y bolsa se hunden tras la renuncia de Carlos Urzúa  Reply Retweet Like","Alejandro Medina  ","@cohetemedina ","2019-07-09",NA,NA,NA,"El peso y bolsa se hunden tras la renuncia de Carlos Urzúa","","","El, Carlos, Urzúa"
"3543",3543,"edgar santiago  @edsantiago44 1h 1 hour ago More Renuncia Carlos Urzúa a la Secretaría de Hacienda  Reply Retweet Like","edgar santiago  ","@edsantiago44 ","2019-07-09",NA,NA,NA,"Renuncia Carlos Urzúa a la Secretaría de Hacienda","","","Renuncia, Carlos, Urzúa, Secretaría, Hacienda"
"3544",3544,"Bill Carson  @CarsonBill75 1h 1 hour ago More ¿Quién va a entrar en lugar de Carlos Urzúa a la Secretaria de Hacienda?   Tal vez @AntonioAttolini, se necesita palero profesional en esa posición. Reply Retweet Like","Bill Carson  ","@CarsonBill75 ","2019-07-09",NA,NA,NA,"¿Quién va a entrar en lugar de Carlos Urzúa a la Secretaria de Hacienda?   Tal vez @AntonioAttolini, se necesita palero profesional en esa posición.","","@AntonioAttolini","Quién, Carlos, Urzúa, Secretaria, Hacienda, Tal"
"3545",3545,"Eduardo Velazquez R.  @GuayoVelazquez 1h 1 hour ago More Renuncia Urzúa a Hacienda y argumenta: - Discrepancias. - Decisiones sin sustento. - Imposición de funcionarios inexpertos. - Confilcto de Intereses. Terrible llamado de atención a la 4T. Llego la hora de dar el mayor de los manotazos para el Presidente. Reply Retweet 1 Like 1","Eduardo Velazquez R","@GuayoVelazquez ","2019-07-09",1,1,NA,".Renuncia Urzúa a Hacienda y argumenta: - Discrepancias. - Decisiones sin sustento. - Imposición de funcionarios inexpertos. - Confilcto de Intereses. Terrible llamado de atención a la 4T. Llego la hora de dar el mayor de los manotazos para el Presidente.","","","Renuncia, Urzúa, Hacienda, Discrepancias, Decisiones, Imposición, Confilcto, Intereses, Terrible, Llego, Presidente"
"3546",3546,"juicio de Dios  @surrealRagnarok 1h 1 hour ago More Replying to @julioastillero Así los bots ahora que hasta la biografía de Urzua buscan jajajajaja  Reply Retweet Like","juicio de Dios  ","@surrealRagnarok ","2019-07-09",NA,NA,NA,"REPLYING TO @julioastillero Así los bots ahora que hasta la biografía de Urzua buscan jajajajaja","","@julioastillero","Así, Urzua"
"3547",3547,"Sergio González  @SergioGonSa83 1h 1 hour ago More Replying to @juliopatan09 @Anaro74 Si acaso AMLO pretende descalificar a Urzua por su renuncia, no olvidemos que el fue quien lo eligió. Reply Retweet Like 3","Sergio González  ","@SergioGonSa83 ","2019-07-09",NA,3,NA,"REPLYING TO @juliopatan09 @Anaro74 Si acaso AMLO pretende descalificar a Urzua por su renuncia, no olvidemos que el fue quien lo eligió.","","@juliopatan09, @Anaro74","Si, AMLO, Urzua"
"3548",3548,"César León Flores  @THECSLFG 1h 1 hour ago More ""Carlos Urzúa"" AMLO  Hay que ponernos a rezar...  Con eso de que @lopezobrador_ revive a los miembros de la #MafiadelPoder, no se le vaya a ocurrir revivir a #CarlosSalinas. Reply Retweet Like","César León Flores  ","@THECSLFG ","2019-07-09",NA,NA,NA,"""Carlos Urzúa"" AMLO  Hay que ponernos a rezar...  Con eso de que @lopezobrador_ revive a los miembros de la #MafiadelPoder, no se le vaya a ocurrir revivir a #CarlosSalinas.","#MafiadelPoder, #CarlosSalinas","@lopezobrador_","Carlos, Urzúa, AMLO, Hay, Con, MafiadelPoder, CarlosSalinas"
"3549",3549,"Gabriela Estrada  @gabiest_oficial 1h 1 hour ago More Carlos Urzúa renuncia a la Secretaría de Hacienda https://gabrielaestradaoficial.wordpress.com/2019/07/09/carlos-urzua-renuncia-a-la-secretaria-de-hacienda/ … This media may contain sensitive material. Learn more View Reply Retweet Like","Gabriela Estrada  ","@gabiest_oficial ","2019-07-09",NA,NA,NA,"Carlos Urzúa renuncia a la Secretaría de Hacienda https://gabrielaestradaoficial.wordpress.com/2019/07/09/carlos-urzua-renuncia-a-la-secretaria-de-hacienda/ … This media may contain sensitive material. Learn more View","","","Carlos, Urzúa, Secretaría, Hacienda, This, Learn, View"
"3550",3550,"Giovanni Mac ®  @GioMacnet 1h 1 hour ago More La renuncia de Urzúa y sus críticas al gobierno tumba al peso  Reply Retweet 1 Like 1","Giovanni Mac ","@GioMacnet ","2019-07-09",1,1,NA,"®La renuncia de Urzúa y sus críticas al gobierno tumba al peso","","","La, Urzúa"
